[151]	validation_0-rmse:3.35069	validation_0-mae:2.27958	validation_1-rmse:4.16950	validation_1-mae:2.71185
[152]	validation_0-rmse:3.34582	validation_0-mae:2.27638	validation_1-rmse:4.16701	validation_1-mae:2.71000
[153]	validation_0-rmse:3.33991	validation_0-mae:2.27271	validation_1-rmse:4.16411	validation_1-mae:2.70811
[154]	validation_0-rmse:3.33368	validation_0-mae:2.26889	validation_1-rmse:4.16082	validation_1-mae:2.70576
[155]	validation_0-rmse:3.32848	validation_0-mae:2.26540	validation_1-rmse:4.15817	validation_1-mae:2.70374
[156]	validation_0-rmse:3.32322	validation_0-mae:2.26196	validation_1-rmse:4.15580	validation_1-mae:2.70181
[157]	validation_0-rmse:3.31769	validation_0-mae:2.25825	validation_1-rmse:4.15318	validation_1-mae:2.69988
[158]	validation_0-rmse:3.31163	validation_0-mae:2.25426	validation_1-rmse:4.14988	validation_1-mae:2.69740
[159]	validation_0-rmse:3.30597	validation_0-mae:2.25077	validation_1-rmse:4.14725	validation_1-mae:2.69540
[160]	validation_0-rmse:3.30079	validation_0-mae:2.24726	validation_1-rmse:4.14487	validation_1-mae:2.69336
[161]	validation_0-rmse:3.29521	validation_0-mae:2.24380	validation_1-rmse:4.14212	validation_1-mae:2.69149
[162]	validation_0-rmse:3.28923	validation_0-mae:2.24012	validation_1-rmse:4.13940	validation_1-mae:2.68952
[163]	validation_0-rmse:3.28399	validation_0-mae:2.23699	validation_1-rmse:4.13711	validation_1-mae:2.68800
[164]	validation_0-rmse:3.27818	validation_0-mae:2.23367	validation_1-rmse:4.13452	validation_1-mae:2.68616
[165]	validation_0-rmse:3.27230	validation_0-mae:2.23006	validation_1-rmse:4.13144	validation_1-mae:2.68407
[166]	validation_0-rmse:3.26648	validation_0-mae:2.22662	validation_1-rmse:4.12821	validation_1-mae:2.68220
[167]	validation_0-rmse:3.26116	validation_0-mae:2.22321	validation_1-rmse:4.12557	validation_1-mae:2.68031
[168]	validation_0-rmse:3.25545	validation_0-mae:2.21961	validation_1-rmse:4.12317	validation_1-mae:2.67846
[169]	validation_0-rmse:3.24960	validation_0-mae:2.21595	validation_1-rmse:4.12003	validation_1-mae:2.67622
[170]	validation_0-rmse:3.24449	validation_0-mae:2.21271	validation_1-rmse:4.11776	validation_1-mae:2.67446
