Estimator,Train_RMSE,Train_MAE,Val_RMSE,Val_MAE,Train_MSE,Val_MSE
70,3.9676,2.6841,4.51046,2.97377,15.741849760000001,20.3442494116
71,3.95681,2.67687,4.50413,2.96884,15.656345376099999,20.2871870569
72,3.94549,2.66917,4.49699,2.96335,15.5668913401,20.2229190601
73,3.9344,2.66191,4.48982,2.9581,15.47950336,20.1584836324
74,3.92397,2.65499,4.48334,2.95297,15.397540560900001,20.1003375556
75,3.91419,2.64854,4.47722,2.94842,15.320883356100001,20.0454989284
76,3.90305,2.64103,4.47055,2.94311,15.2337993025,19.985817302500003
77,3.89209,2.63396,4.46412,2.93811,15.1483645681,19.928367374400004
78,3.88134,2.62704,4.45725,2.9328,15.064800195599998,19.8670775625
79,3.87098,2.62025,4.45089,2.92797,14.9844861604,19.8104217921
80,3.86127,2.61368,4.44483,2.92319,14.909406012900002,19.756513728899996
81,3.85141,2.60665,4.43858,2.91815,14.8333589881,19.7009924164
82,3.84083,2.59963,4.43235,2.91324,14.7519750889,19.645726522499995
83,3.83098,2.5934,4.42647,2.90892,14.676407760399998,19.5936366609
84,3.82159,2.58711,4.42074,2.90451,14.6045501281,19.5429421476
85,3.81239,2.5808,4.41486,2.89995,14.534317512100001,19.4909888196
86,3.80361,2.57481,4.40972,2.89594,14.4674490321,19.445630478400002
87,3.79512,2.56902,4.40487,2.89213,14.4029358144,19.4028797169
88,3.78634,2.56329,4.39974,2.88835,14.3363705956,19.357712067600005
89,3.77804,2.5579,4.39534,2.88472,14.273586241599999,19.3190137156
90,3.76983,2.55212,4.3905,2.88062,14.211618228899999,19.276490250000002
91,3.76124,2.5466,4.38584,2.87696,14.1469263376,19.2355925056
92,3.75286,2.54109,4.38114,2.87331,14.0839581796,19.194387699600004
93,3.74518,2.53591,4.37681,2.86995,14.0263732324,19.1564657761
94,3.73679,2.53047,4.3719,2.86608,13.963599504100001,19.11350961
95,3.72859,2.5248,4.36748,2.8627,13.9023833881,19.074881550399997
96,3.72055,2.51991,4.36351,2.85972,13.842492302499998,19.0402195201
97,3.71294,2.51444,4.35909,2.85601,13.785923443600002,19.0016656281
98,3.70519,2.50933,4.35523,2.85294,13.728432936099999,18.968028352899996
99,3.69649,2.50341,4.35004,2.84873,13.6640383201,18.9228480016
100,3.68823,2.49836,4.34584,2.84538,13.6030405329,18.8863253056
